Geography,Suburb,Year,Age,Value
City of Melbourne,CITY OF MELBOURNE,2020,Age 0-4,5325
City of Melbourne,CITY OF MELBOURNE,2021,Age 0-4,5847
City of Melbourne,CITY OF MELBOURNE,2022,Age 0-4,6376
City of Melbourne,CITY OF MELBOURNE,2023,Age 0-4,6978
City of Melbourne,CITY OF MELBOURNE,2024,Age 0-4,7609
City of Melbourne,CITY OF MELBOURNE,2025,Age 0-4,8220
City of Melbourne,CITY OF MELBOURNE,2026,Age 0-4,8734
City of Melbourne,CITY OF MELBOURNE,2027,Age 0-4,9248
City of Melbourne,CITY OF MELBOURNE,2028,Age 0-4,9727
City of Melbourne,CITY OF MELBOURNE,2029,Age 0-4,10162
City of Melbourne,CITY OF MELBOURNE,2030,Age 0-4,10578
City of Melbourne,CITY OF MELBOURNE,2031,Age 0-4,10992
City of Melbourne,CITY OF MELBOURNE,2032,Age 0-4,11358
City of Melbourne,CITY OF MELBOURNE,2033,Age 0-4,11677
City of Melbourne,CITY OF MELBOURNE,2034,Age 0-4,11951
City of Melbourne,CITY OF MELBOURNE,2035,Age 0-4,12169
City of Melbourne,CITY OF MELBOURNE,2036,Age 0-4,12347
City of Melbourne,CITY OF MELBOURNE,2037,Age 0-4,12496
City of Melbourne,CITY OF MELBOURNE,2038,Age 0-4,12649
City of Melbourne,CITY OF MELBOURNE,2039,Age 0-4,12777
City of Melbourne,CITY OF MELBOURNE,2040,Age 0-4,12824
Carlton,CARLTON,2020,Age 0-4,503
Carlton,CARLTON,2021,Age 0-4,550
Carlton,CARLTON,2022,Age 0-4,589
Carlton,CARLTON,2023,Age 0-4,646
Carlton,CARLTON,2024,Age 0-4,706
Carlton,CARLTON,2025,Age 0-4,740
Carlton,CARLTON,2026,Age 0-4,760
Carlton,CARLTON,2027,Age 0-4,801
Carlton,CARLTON,2028,Age 0-4,827
Carlton,CARLTON,2029,Age 0-4,850
Carlton,CARLTON,2030,Age 0-4,870
Carlton,CARLTON,2031,Age 0-4,909
Carlton,CARLTON,2032,Age 0-4,955
Carlton,CARLTON,2033,Age 0-4,993
Carlton,CARLTON,2034,Age 0-4,1024
Carlton,CARLTON,2035,Age 0-4,1047
Carlton,CARLTON,2036,Age 0-4,1045
Carlton,CARLTON,2037,Age 0-4,1036
Carlton,CARLTON,2038,Age 0-4,1031
Carlton,CARLTON,2039,Age 0-4,1023
Carlton,CARLTON,2040,Age 0-4,1011
Docklands,DOCKLANDS,2020,Age 0-4,795
Docklands,DOCKLANDS,2021,Age 0-4,851
Docklands,DOCKLANDS,2022,Age 0-4,928
Docklands,DOCKLANDS,2023,Age 0-4,1022
Docklands,DOCKLANDS,2024,Age 0-4,1106
Docklands,DOCKLANDS,2025,Age 0-4,1182
Docklands,DOCKLANDS,2026,Age 0-4,1242
Docklands,DOCKLANDS,2027,Age 0-4,1311
Docklands,DOCKLANDS,2028,Age 0-4,1380
Docklands,DOCKLANDS,2029,Age 0-4,1445
Docklands,DOCKLANDS,2030,Age 0-4,1505
Docklands,DOCKLANDS,2031,Age 0-4,1562
Docklands,DOCKLANDS,2032,Age 0-4,1622
Docklands,DOCKLANDS,2033,Age 0-4,1669
Docklands,DOCKLANDS,2034,Age 0-4,1709
Docklands,DOCKLANDS,2035,Age 0-4,1744
Docklands,DOCKLANDS,2036,Age 0-4,1776
Docklands,DOCKLANDS,2037,Age 0-4,1814
Docklands,DOCKLANDS,2038,Age 0-4,1849
Docklands,DOCKLANDS,2039,Age 0-4,1877
Docklands,DOCKLANDS,2040,Age 0-4,1893
East Melbourne,EAST MELBOURNE,2020,Age 0-4,142
East Melbourne,EAST MELBOURNE,2021,Age 0-4,147
East Melbourne,EAST MELBOURNE,2022,Age 0-4,154
East Melbourne,EAST MELBOURNE,2023,Age 0-4,170
East Melbourne,EAST MELBOURNE,2024,Age 0-4,186
East Melbourne,EAST MELBOURNE,2025,Age 0-4,204
East Melbourne,EAST MELBOURNE,2026,Age 0-4,214
East Melbourne,EAST MELBOURNE,2027,Age 0-4,220
East Melbourne,EAST MELBOURNE,2028,Age 0-4,227
East Melbourne,EAST MELBOURNE,2029,Age 0-4,232
East Melbourne,EAST MELBOURNE,2030,Age 0-4,235
East Melbourne,EAST MELBOURNE,2031,Age 0-4,243
East Melbourne,EAST MELBOURNE,2032,Age 0-4,244
East Melbourne,EAST MELBOURNE,2033,Age 0-4,246
East Melbourne,EAST MELBOURNE,2034,Age 0-4,247
East Melbourne,EAST MELBOURNE,2035,Age 0-4,249
East Melbourne,EAST MELBOURNE,2036,Age 0-4,251
East Melbourne,EAST MELBOURNE,2037,Age 0-4,246
East Melbourne,EAST MELBOURNE,2038,Age 0-4,246
East Melbourne,EAST MELBOURNE,2039,Age 0-4,243
East Melbourne,EAST MELBOURNE,2040,Age 0-4,239
Kensington,KENSINGTON,2020,Age 0-4,761
Kensington,KENSINGTON,2021,Age 0-4,815
Kensington,KENSINGTON,2022,Age 0-4,869
Kensington,KENSINGTON,2023,Age 0-4,946
Kensington,KENSINGTON,2024,Age 0-4,1020
Kensington,KENSINGTON,2025,Age 0-4,1090
Kensington,KENSINGTON,2026,Age 0-4,1147
Kensington,KENSINGTON,2027,Age 0-4,1210
Kensington,KENSINGTON,2028,Age 0-4,1277
Kensington,KENSINGTON,2029,Age 0-4,1330
Kensington,KENSINGTON,2030,Age 0-4,1386
Kensington,KENSINGTON,2031,Age 0-4,1420
Kensington,KENSINGTON,2032,Age 0-4,1435
Kensington,KENSINGTON,2033,Age 0-4,1442
Kensington,KENSINGTON,2034,Age 0-4,1445
Kensington,KENSINGTON,2035,Age 0-4,1449
Kensington,KENSINGTON,2036,Age 0-4,1456
Kensington,KENSINGTON,2037,Age 0-4,1463
Kensington,KENSINGTON,2038,Age 0-4,1464
Kensington,KENSINGTON,2039,Age 0-4,1489
Kensington,KENSINGTON,2040,Age 0-4,1486
Melbourne,MELBOURNE,2020,Age 0-4,976
Melbourne,MELBOURNE,2021,Age 0-4,1156
Melbourne,MELBOURNE,2022,Age 0-4,1266
Melbourne,MELBOURNE,2023,Age 0-4,1385
Melbourne,MELBOURNE,2024,Age 0-4,1520
Melbourne,MELBOURNE,2025,Age 0-4,1666
Melbourne,MELBOURNE,2026,Age 0-4,1779
Melbourne,MELBOURNE,2027,Age 0-4,1893
Melbourne,MELBOURNE,2028,Age 0-4,1991
Melbourne,MELBOURNE,2029,Age 0-4,2085
Melbourne,MELBOURNE,2030,Age 0-4,2174
Melbourne,MELBOURNE,2031,Age 0-4,2267
Melbourne,MELBOURNE,2032,Age 0-4,2355
Melbourne,MELBOURNE,2033,Age 0-4,2431
Melbourne,MELBOURNE,2034,Age 0-4,2498
Melbourne,MELBOURNE,2035,Age 0-4,2556
Melbourne,MELBOURNE,2036,Age 0-4,2615
Melbourne,MELBOURNE,2037,Age 0-4,2672
Melbourne,MELBOURNE,2038,Age 0-4,2733
Melbourne,MELBOURNE,2039,Age 0-4,2768
Melbourne,MELBOURNE,2040,Age 0-4,2801
North Melbourne,NORTH MELBOURNE,2020,Age 0-4,605
North Melbourne,NORTH MELBOURNE,2021,Age 0-4,650
North Melbourne,NORTH MELBOURNE,2022,Age 0-4,692
North Melbourne,NORTH MELBOURNE,2023,Age 0-4,758
North Melbourne,NORTH MELBOURNE,2024,Age 0-4,832
North Melbourne,NORTH MELBOURNE,2025,Age 0-4,932
North Melbourne,NORTH MELBOURNE,2026,Age 0-4,1022
North Melbourne,NORTH MELBOURNE,2027,Age 0-4,1081
North Melbourne,NORTH MELBOURNE,2028,Age 0-4,1151
North Melbourne,NORTH MELBOURNE,2029,Age 0-4,1220
North Melbourne,NORTH MELBOURNE,2030,Age 0-4,1278
North Melbourne,NORTH MELBOURNE,2031,Age 0-4,1341
North Melbourne,NORTH MELBOURNE,2032,Age 0-4,1369
North Melbourne,NORTH MELBOURNE,2033,Age 0-4,1413
North Melbourne,NORTH MELBOURNE,2034,Age 0-4,1452
North Melbourne,NORTH MELBOURNE,2035,Age 0-4,1497
North Melbourne,NORTH MELBOURNE,2036,Age 0-4,1536
North Melbourne,NORTH MELBOURNE,2037,Age 0-4,1555
North Melbourne,NORTH MELBOURNE,2038,Age 0-4,1571
North Melbourne,NORTH MELBOURNE,2039,Age 0-4,1596
North Melbourne,NORTH MELBOURNE,2040,Age 0-4,1607
Parkville,PARKVILLE,2020,Age 0-4,454
Parkville,PARKVILLE,2021,Age 0-4,499
Parkville,PARKVILLE,2022,Age 0-4,545
Parkville,PARKVILLE,2023,Age 0-4,594
Parkville,PARKVILLE,2024,Age 0-4,647
Parkville,PARKVILLE,2025,Age 0-4,689
Parkville,PARKVILLE,2026,Age 0-4,722
Parkville,PARKVILLE,2027,Age 0-4,757
Parkville,PARKVILLE,2028,Age 0-4,787
Parkville,PARKVILLE,2029,Age 0-4,809
Parkville,PARKVILLE,2030,Age 0-4,830
Parkville,PARKVILLE,2031,Age 0-4,854
Parkville,PARKVILLE,2032,Age 0-4,875
Parkville,PARKVILLE,2033,Age 0-4,891
Parkville,PARKVILLE,2034,Age 0-4,906
Parkville,PARKVILLE,2035,Age 0-4,916
Parkville,PARKVILLE,2036,Age 0-4,922
Parkville,PARKVILLE,2037,Age 0-4,928
Parkville,PARKVILLE,2038,Age 0-4,934
Parkville,PARKVILLE,2039,Age 0-4,939
Parkville,PARKVILLE,2040,Age 0-4,936
Port Melbourne,PORT MELBOURNE,2020,Age 0-4,0
Port Melbourne,PORT MELBOURNE,2021,Age 0-4,0
Port Melbourne,PORT MELBOURNE,2022,Age 0-4,0
Port Melbourne,PORT MELBOURNE,2023,Age 0-4,0
Port Melbourne,PORT MELBOURNE,2024,Age 0-4,0
Port Melbourne,PORT MELBOURNE,2025,Age 0-4,0
Port Melbourne,PORT MELBOURNE,2026,Age 0-4,24
Port Melbourne,PORT MELBOURNE,2027,Age 0-4,41
Port Melbourne,PORT MELBOURNE,2028,Age 0-4,56
Port Melbourne,PORT MELBOURNE,2029,Age 0-4,72
Port Melbourne,PORT MELBOURNE,2030,Age 0-4,95
Port Melbourne,PORT MELBOURNE,2031,Age 0-4,115
Port Melbourne,PORT MELBOURNE,2032,Age 0-4,135
Port Melbourne,PORT MELBOURNE,2033,Age 0-4,155
Port Melbourne,PORT MELBOURNE,2034,Age 0-4,174
Port Melbourne,PORT MELBOURNE,2035,Age 0-4,192
Port Melbourne,PORT MELBOURNE,2036,Age 0-4,209
Port Melbourne,PORT MELBOURNE,2037,Age 0-4,227
Port Melbourne,PORT MELBOURNE,2038,Age 0-4,241
Port Melbourne,PORT MELBOURNE,2039,Age 0-4,253
Port Melbourne,PORT MELBOURNE,2040,Age 0-4,264
South Yarra,SOUTH YARRA,2020,Age 0-4,125
South Yarra,SOUTH YARRA,2021,Age 0-4,132
South Yarra,SOUTH YARRA,2022,Age 0-4,139
South Yarra,SOUTH YARRA,2023,Age 0-4,151
South Yarra,SOUTH YARRA,2024,Age 0-4,165
South Yarra,SOUTH YARRA,2025,Age 0-4,177
South Yarra,SOUTH YARRA,2026,Age 0-4,181
South Yarra,SOUTH YARRA,2027,Age 0-4,185
South Yarra,SOUTH YARRA,2028,Age 0-4,187
South Yarra,SOUTH YARRA,2029,Age 0-4,189
South Yarra,SOUTH YARRA,2030,Age 0-4,190
South Yarra,SOUTH YARRA,2031,Age 0-4,193
South Yarra,SOUTH YARRA,2032,Age 0-4,193
South Yarra,SOUTH YARRA,2033,Age 0-4,193
South Yarra,SOUTH YARRA,2034,Age 0-4,193
South Yarra,SOUTH YARRA,2035,Age 0-4,193
South Yarra,SOUTH YARRA,2036,Age 0-4,192
South Yarra,SOUTH YARRA,2037,Age 0-4,190
South Yarra,SOUTH YARRA,2038,Age 0-4,188
South Yarra,SOUTH YARRA,2039,Age 0-4,185
South Yarra,SOUTH YARRA,2040,Age 0-4,184
Southbank,SOUTHBANK,2020,Age 0-4,693
Southbank,SOUTHBANK,2021,Age 0-4,749
Southbank,SOUTHBANK,2022,Age 0-4,873
Southbank,SOUTHBANK,2023,Age 0-4,952
Southbank,SOUTHBANK,2024,Age 0-4,1038
Southbank,SOUTHBANK,2025,Age 0-4,1118
Southbank,SOUTHBANK,2026,Age 0-4,1180
Southbank,SOUTHBANK,2027,Age 0-4,1248
Southbank,SOUTHBANK,2028,Age 0-4,1305
Southbank,SOUTHBANK,2029,Age 0-4,1357
Southbank,SOUTHBANK,2030,Age 0-4,1410
Southbank,SOUTHBANK,2031,Age 0-4,1457
Southbank,SOUTHBANK,2032,Age 0-4,1505
Southbank,SOUTHBANK,2033,Age 0-4,1544
Southbank,SOUTHBANK,2034,Age 0-4,1577
Southbank,SOUTHBANK,2035,Age 0-4,1606
Southbank,SOUTHBANK,2036,Age 0-4,1631
Southbank,SOUTHBANK,2037,Age 0-4,1654
Southbank,SOUTHBANK,2038,Age 0-4,1683
Southbank,SOUTHBANK,2039,Age 0-4,1699
Southbank,SOUTHBANK,2040,Age 0-4,1708
West Melbourne,WEST MELBOURNE,2020,Age 0-4,271
West Melbourne,WEST MELBOURNE,2021,Age 0-4,298
West Melbourne,WEST MELBOURNE,2022,Age 0-4,321
West Melbourne,WEST MELBOURNE,2023,Age 0-4,354
West Melbourne,WEST MELBOURNE,2024,Age 0-4,388
West Melbourne,WEST MELBOURNE,2025,Age 0-4,422
West Melbourne,WEST MELBOURNE,2026,Age 0-4,463
West Melbourne,WEST MELBOURNE,2027,Age 0-4,501
West Melbourne,WEST MELBOURNE,2028,Age 0-4,538
West Melbourne,WEST MELBOURNE,2029,Age 0-4,571
West Melbourne,WEST MELBOURNE,2030,Age 0-4,605
West Melbourne,WEST MELBOURNE,2031,Age 0-4,633
West Melbourne,WEST MELBOURNE,2032,Age 0-4,668
West Melbourne,WEST MELBOURNE,2033,Age 0-4,701
West Melbourne,WEST MELBOURNE,2034,Age 0-4,726
West Melbourne,WEST MELBOURNE,2035,Age 0-4,720
West Melbourne,WEST MELBOURNE,2036,Age 0-4,715
West Melbourne,WEST MELBOURNE,2037,Age 0-4,710
West Melbourne,WEST MELBOURNE,2038,Age 0-4,709
West Melbourne,WEST MELBOURNE,2039,Age 0-4,705
West Melbourne,WEST MELBOURNE,2040,Age 0-4,695