Geography,Suburb,No motor vehicles,One motor vehicle,Two motor vehicles,Three motor vehicles,Four or more motor vehicles,Dwellings,No motor vehicles_perc,One motor vehicle_perc,Two motor vehicles_perc,Three motor vehicles_perc,Four or more motor vehicles_perc
Carlton,CARLTON,3294,2714,620,103,46,6778,0.485984066,0.400413101,0.091472411,0.015196223,0.006786663
Docklands,DOCKLANDS,3044,3514,765,96,36,7452,0.408480945,0.471551261,0.102657005,0.012882448,0.004830918
East Melbourne,EAST MELBOURNE,452,1263,539,71,44,2373,0.19047619,0.532237674,0.227138643,0.029919933,0.01854193
Kensington,KENSINGTON,791,2549,1111,176,46,4676,0.169161677,0.545124038,0.237596236,0.037639008,0.009837468
Melbourne,MELBOURNE,16453,8909,1360,147,77,26941,0.610704874,0.330685572,0.05048068,0.005456368,0.002858097
North Melbourne,NORTH MELBOURNE,2095,3249,879,126,43,6393,0.327702174,0.508212107,0.137494134,0.019709057,0.006726107
Parkville,PARKVILLE,381,1203,431,80,32,2127,0.179125529,0.565585331,0.202632816,0.03761166,0.015044664
Port Melbourne,PORT MELBOURNE,930,4152,2177,353,111,7724,0.120403936,0.537545313,0.281848783,0.045701709,0.014370792
South Yarra,SOUTH YARRA,3614,6920,1945,326,132,12933,0.279440192,0.535065337,0.150390474,0.025206835,0.010206449
Southbank,SOUTHBANK,4762,5930,933,79,32,11741,0.405587258,0.505067711,0.079465122,0.006728558,0.002725492
West Melbourne,WEST MELBOURNE,1383,1943,401,55,19,3799,0.364043169,0.511450382,0.105554093,0.014477494,0.005001316