,Geography,Suburb,Year,Gender,Age,Value
11052,Carlton,CARLTON,2025,Total,Age 0-4,740
11430,Docklands,DOCKLANDS,2025,Total,Age 0-4,1182
11808,East Melbourne,EAST MELBOURNE,2025,Total,Age 0-4,204
12186,Kensington,KENSINGTON,2025,Total,Age 0-4,1090
12186,Melbourne,MELBOURNE,2025,Total,Age 0-4,1666
13320,North Melbourne,NORTH MELBOURNE,2025,Total,Age 0-4,932
13698,Parkville,PARKVILLE,2025,Total,Age 0-4,689
14076,Port Melbourne,PORT MELBOURNE,2025,Total,Age 0-4,0
14454,South Yarra,SOUTH YARRA,2025,Total,Age 0-4,177
14832,Southbank,SOUTHBANK,2025,Total,Age 0-4,1118
15588,West Melbourne,WEST MELBOURNE,2025,Total,Age 0-4,422