Geography,Suburb,0-4Myears,5-14Myears,15-19Myears,20-24Myears,25-34Myears,35-44Myears,45-54Myears,55-64Myears,65-74Myears,75-84Myears,85MyearsMandMover,0-4Fyears,5-14Fyears,15-19Fyears,20-24Fyears,25-34Fyears,35-44Fyears,45-54Fyears,55-64Fyears,65-74Fyears,75-84Fyears,85FyearsFandFover
Carlton,CARLTON,166,304,448,"1,865","2,727",908,470,367,313,210,84,145,254,573,"2,024","2,697",828,492,445,371,238,132
Docklands,DOCKLANDS,359,266,118,770,"3,083","1,601",733,604,375,107,22,328,252,124,796,"2,952","1,290",664,600,322,104,26
East Melbourne,EAST MELBOURNE,59,87,40,130,565,397,255,308,299,172,39,53,91,56,153,577,386,297,351,349,150,84
Kensington,KENSINGTON,316,454,194,375,"1,252","1,023",643,478,325,130,49,313,475,172,381,"1,299","1,116",686,486,343,169,78
Melbourne,MELBOURNE,525,614,872,"5,369","10,475","4,413","1,971","1,392",998,551,168,553,597,"1,053","6,179","10,597","3,693","1,745","1,393","1,049",482,239
North Melbourne,NORTH MELBOURNE,278,613,343,940,"2,118","1,163",691,540,389,161,47,274,575,361,"1,118","2,165","1,192",781,569,385,169,71
Parkville,PARKVILLE,99,153,468,712,863,394,205,178,151,104,37,72,135,767,805,787,324,211,188,167,122,111
Port Melbourne,PORT MELBOURNE,412,792,361,337,"1,295","1,455","1,391","1,084",772,427,108,425,796,318,363,"1,419","1,670","1,511","1,162",903,500,130
South Yarra,SOUTH YARRA,318,548,353,888,"4,019","2,176","1,200","1,057",743,453,138,370,525,395,"1,302","4,525","2,010","1,246","1,033",948,574,226
Southbank,SOUTHBANK,362,327,200,"1,336","4,741","2,312",908,646,421,184,34,331,326,257,"1,514","4,683","1,894",840,670,450,176,26
West Melbourne,WEST MELBOURNE,118,167,117,523,"1,655",761,372,223,117,45,5,137,167,117,583,"1,588",617,329,209,125,47,12